VH_EFFECTIVE_DT,VH_AGE,VH_RET_AGE,VH_ANN_SAL,VH_MTHLY_SS_INCOME
1/1/2017 0:00,50,67,"100,000","2,558"
1/1/2017 0:00,50,67,"120,000","2,782"
1/1/2017 0:00,50,67,"127,200","2,862"
1/1/2017 0:00,50,70,"20,000","1,239"
1/1/2017 0:00,50,70,"40,000","1,843"
1/1/2017 0:00,50,70,"60,000","2,447"
1/1/2017 0:00,50,70,"80,000","2,892"
1/1/2017 0:00,50,70,"100,000","3,175"
1/1/2017 0:00,50,70,"120,000","3,458"
1/1/2017 0:00,50,70,"127,200","3,560"
1/1/2017 0:00,50,75,"20,000","1,266"
1/1/2017 0:00,50,75,"40,000","1,897"
1/1/2017 0:00,50,75,"60,000","2,527"
1/1/2017 0:00,50,75,"80,000","2,943"
1/1/2017 0:00,50,75,"100,000","3,238"
1/1/2017 0:00,50,75,"120,000","3,533"
1/1/2017 0:00,50,75,"127,200","3,640"
1/1/2017 0:00,50,80,"20,000","1,286"
1/1/2017 0:00,50,80,"40,000","1,936"
1/1/2017 0:00,50,80,"60,000","2,585"
1/1/2017 0:00,50,80,"80,000","2,979"
1/1/2017 0:00,50,80,"100,000","3,284"
1/1/2017 0:00,50,80,"120,000","3,589"
1/1/2017 0:00,50,80,"127,200","3,698"
1/1/2017 0:00,50,85,"20,000","1,297"
1/1/2017 0:00,50,85,"40,000","1,958"
1/1/2017 0:00,50,85,"60,000","2,620"
1/1/2017 0:00,50,85,"80,000","3,001"
1/1/2017 0:00,50,85,"100,000","3,311"
1/1/2017 0:00,50,85,"120,000","3,621"
1/1/2017 0:00,50,85,"127,200","3,732"
1/1/2017 0:00,55,62,"20,000",648
1/1/2017 0:00,55,62,"40,000",941
1/1/2017 0:00,55,62,"60,000","1,230"
1/1/2017 0:00,55,62,"80,000","1,519"
1/1/2017 0:00,55,62,"100,000","1,683"
1/1/2017 0:00,55,62,"120,000","1,818"
1/1/2017 0:00,55,62,"127,200","1,867"
1/1/2017 0:00,55,65,"20,000",821
1/1/2017 0:00,55,65,"40,000","1,203"
1/1/2017 0:00,55,65,"60,000","1,579"
1/1/2017 0:00,55,65,"80,000","1,952"
1/1/2017 0:00,55,65,"100,000","2,128"
1/1/2017 0:00,55,65,"120,000","2,304"
1/1/2017 0:00,55,65,"127,200","2,368"
1/1/2017 0:00,55,67,"20,000",961
1/1/2017 0:00,55,67,"40,000","1,415"
1/1/2017 0:00,55,67,"60,000","1,863"
1/1/2017 0:00,55,67,"80,000","2,278"
1/1/2017 0:00,55,67,"100,000","2,488"
1/1/2017 0:00,55,67,"120,000","2,698"
1/1/2017 0:00,55,67,"127,200","2,773"
1/1/2017 0:00,55,70,"20,000","1,206"
1/1/2017 0:00,55,70,"40,000","1,777"
1/1/2017 0:00,55,70,"60,000","2,347"
1/1/2017 0:00,55,70,"80,000","2,830"
1/1/2017 0:00,55,70,"100,000","3,098"
1/1/2017 0:00,55,70,"120,000","3,365"
1/1/2017 0:00,55,70,"127,200","3,461"
1/1/2017 0:00,55,75,"20,000","1,239"
1/1/2017 0:00,55,75,"40,000","1,843"
